anio,sexo,cantidad_personas,grupo_edad,lugar_residencia
2015,v,431,30 - 39,Ignorado
2015,v,545,40 - 49,Ignorado
2015,v,739,50 - 59,Ignorado
2015,v,815,60 - 69,Ignorado
2015,v,644,70 - 79,Ignorado
2015,v,282,80 - 89,Ignorado
2015,v,53,90 y más,Ignorado
2015,v,2,Ignorado,Ignorado
2016,m,884,0 - 9,Ciudad de Buenos Aires
2016,m,3691,10 - 19,Ciudad de Buenos Aires
2016,m,9539,20 - 29,Ciudad de Buenos Aires
2016,m,9336,30 - 39,Ciudad de Buenos Aires
2016,m,10076,40 - 49,Ciudad de Buenos Aires
2016,m,11830,50 - 59,Ciudad de Buenos Aires
2016,m,12809,60 - 69,Ciudad de Buenos Aires
2016,m,9234,70 - 79,Ciudad de Buenos Aires
2016,m,3843,80 - 89,Ciudad de Buenos Aires
2016,m,437,90 y más,Ciudad de Buenos Aires
2016,m,1,Ignorado,Ciudad de Buenos Aires
2016,m,465,0 - 9,Otros fuera de CABA
2016,m,3039,10 - 19,Otros fuera de CABA
2016,m,8002,20 - 29,Otros fuera de CABA
2016,m,7093,30 - 39,Otros fuera de CABA
2016,m,8452,40 - 49,Otros fuera de CABA
2016,m,8914,50 - 59,Otros fuera de CABA
2016,m,6349,60 - 69,Otros fuera de CABA
2016,m,2908,70 - 79,Otros fuera de CABA
2016,m,707,80 - 89,Otros fuera de CABA
2016,m,48,90 y más,Otros fuera de CABA
2016,m,3,Ignorado,Otros fuera de CABA
2016,m,17,0 - 9,Ignorado
2016,m,232,10 - 19,Ignorado
2016,m,597,20 - 29,Ignorado
2016,m,600,30 - 39,Ignorado
2016,m,803,40 - 49,Ignorado
2016,m,896,50 - 59,Ignorado
2016,m,895,60 - 69,Ignorado
2016,m,710,70 - 79,Ignorado
2016,m,344,80 - 89,Ignorado
2016,m,51,90 y más,Ignorado
2016,m,5,Ignorado,Ignorado
2016,v,891,0 - 9,Ciudad de Buenos Aires
2016,v,2479,10 - 19,Ciudad de Buenos Aires
2016,v,6560,20 - 29,Ciudad de Buenos Aires
2016,v,7228,30 - 39,Ciudad de Buenos Aires
2016,v,8292,40 - 49,Ciudad de Buenos Aires
2016,v,9985,50 - 59,Ciudad de Buenos Aires
2016,v,10253,60 - 69,Ciudad de Buenos Aires
2016,v,7341,70 - 79,Ciudad de Buenos Aires
2016,v,2913,80 - 89,Ciudad de Buenos Aires
